property_id,country,city,property_type,furnishing_status,property_size_sqft,price,constructed_year,previous_owners,rooms,bathrooms,garage,garden,crime_cases_reported,legal_cases_on_property,customer_salary,loan_amount,loan_tenure_years,monthly_expenses,down_payment,emi_to_income_ratio,satisfaction_score,neighbourhood_rating,connectivity_score,decision
25002,UK,Birmingham,Townhouse,Fully-Furnished,2862,1141712,2005,0,5,5,0,1,1,0,70950,585272,30,2580,556440,0.05,10,4,1,1
25003,India,Chennai,Townhouse,Semi-Furnished,5642,848469,2002,5,4,2,0,1,1,0,5684,566190,20,3131,282279,0.74,5,7,8,0
25004,UK,Birmingham,Independent House,Semi-Furnished,2275,910391,2004,2,3,3,1,1,0,0,52695,766145,20,9245,144246,0.11,9,6,4,1
25005,Brazil,São Paulo,Studio,Fully-Furnished,4333,866338,2012,5,2,2,0,1,1,0,25290,487135,20,5085,379203,0.14,6,10,2,0
25006,Brazil,São Paulo,Independent House,Semi-Furnished,3365,675228,1960,0,3,2,1,1,3,1,4190,276407,25,7670,398821,0.45,5,5,3,0
25007,UAE,Abu Dhabi,Townhouse,Semi-Furnished,5564,3337382,1967,0,2,2,0,0,4,0,72915,2013380,25,7970,1324002,0.19,9,3,2,0
25008,Brazil,São Paulo,Apartment,Semi-Furnished,3615,727978,1988,4,5,5,1,1,0,0,28152,488998,10,14165,238980,0.2,7,7,9,1
25009,Canada,Montreal,Villa,Unfurnished,3641,1270325,1983,0,8,4,1,1,3,0,30745,781896,15,9790,488429,0.22,7,6,5,0
25010,South Africa,Cape Town,Apartment,Unfurnished,3174,572427,1983,2,8,6,1,0,0,0,22724,428552,10,15395,143875,0.21,10,4,3,1
25011,India,Mumbai,Studio,Semi-Furnished,2667,395857,1969,0,1,1,0,1,0,0,15154,224340,25,3094,171517,0.1,7,9,2,1
25012,France,Lyon,Independent House,Fully-Furnished,5514,2315515,2020,3,2,2,1,0,2,0,34105,1109611,15,7060,1205904,0.28,6,5,4,0
25013,Japan,Osaka,Apartment,Fully-Furnished,1421,635666,2001,6,7,2,1,1,0,0,62740,277683,30,9860,357983,0.03,9,10,7,1
25014,UK,Birmingham,Independent House,Fully-Furnished,2955,1185626,2000,0,3,2,0,1,1,0,61540,995496,30,14720,190130,0.1,5,5,4,0
25015,India,Delhi,Apartment,Semi-Furnished,528,74951,1963,2,4,1,1,0,1,1,7185,54787,20,3124,20164,0.06,9,4,4,0
25016,Canada,Toronto,Villa,Semi-Furnished,2463,866711,2009,3,7,5,0,0,1,0,84605,526881,15,7395,339830,0.05,3,8,7,0
25017,UK,Birmingham,Townhouse,Unfurnished,5622,2249896,1981,3,5,4,1,0,1,0,22465,971392,25,17090,1278504,0.29,7,10,4,1
25018,South Africa,Johannesburg,Farmhouse,Unfurnished,4771,854953,1986,6,8,1,1,1,2,1,12652,725342,25,18755,129611,0.39,4,10,2,0
25019,Brazil,São Paulo,Townhouse,Unfurnished,1990,401600,1966,1,8,7,1,1,1,0,27242,227108,30,3215,174492,0.05,3,7,7,0
25020,China,Shanghai,Townhouse,Fully-Furnished,2225,843569,1986,4,4,4,0,1,1,0,35290,647147,10,6130,196422,0.21,10,8,6,1
25021,France,Lyon,Apartment,Semi-Furnished,2795,1169105,1975,2,1,1,1,1,1,1,55885,752570,10,11670,416535,0.15,7,3,3,0
25022,Japan,Tokyo,Villa,Semi-Furnished,3031,1365352,2003,3,2,1,0,0,3,0,28165,965374,30,12825,399978,0.22,2,3,7,0
25023,UK,Birmingham,Farmhouse,Semi-Furnished,4843,1940725,1998,5,4,1,1,1,0,0,41380,1628183,15,11425,312542,0.34,8,9,8,1
25024,USA,Houston,Villa,Fully-Furnished,3315,1661211,2016,2,2,2,1,1,0,0,49890,1036227,10,6055,624984,0.24,7,1,3,1
25025,Japan,Kyoto,Townhouse,Semi-Furnished,5585,2508448,1999,6,1,1,0,0,2,0,52065,1722594,20,8940,785854,0.25,8,10,5,1
25026,France,Lyon,Independent House,Semi-Furnished,1405,588354,1980,1,2,1,1,1,1,0,94630,262091,10,12805,326263,0.03,4,7,3,0
25027,Canada,Toronto,Independent House,Fully-Furnished,3715,1302779,1960,6,3,1,1,1,1,0,84675,665666,25,4420,637113,0.05,7,1,1,1
25028,USA,San Francisco,Apartment,Fully-Furnished,563,277129,2002,6,7,3,1,1,3,0,79095,217726,30,13755,59403,0.02,2,1,10,0
25029,China,Beijing,Townhouse,Fully-Furnished,2323,884616,1999,3,6,6,1,0,2,1,15260,479941,10,6080,404675,0.36,2,4,5,0
25030,France,Lyon,Townhouse,Semi-Furnished,2578,1082157,2015,4,5,5,0,0,1,0,75705,853745,10,13540,228412,0.13,6,4,3,0
25031,China,Beijing,Villa,Fully-Furnished,2712,1026539,1978,5,8,1,1,1,0,0,85860,732253,25,4995,294286,0.06,4,8,3,0
25032,Australia,Melbourne,Apartment,Unfurnished,796,251859,1988,1,8,1,0,0,1,0,32075,165331,15,17350,86528,0.04,1,10,3,0
25033,Brazil,Rio de Janeiro,Studio,Semi-Furnished,5579,1111516,1967,4,8,8,1,0,0,0,39644,489646,25,16180,621870,0.08,7,5,8,1
25034,USA,Houston,Apartment,Fully-Furnished,4280,2136245,1962,0,3,3,1,1,0,0,32425,1057910,25,15580,1078335,0.22,1,4,6,0
25035,USA,Houston,Villa,Fully-Furnished,758,383753,1975,4,7,4,0,0,1,0,63485,246336,10,13330,137417,0.04,1,7,10,0
25036,Canada,Montreal,Studio,Semi-Furnished,1209,425653,2020,3,3,3,1,0,1,1,66420,338917,30,2725,86736,0.03,6,4,6,0
25037,Canada,Vancouver,Apartment,Unfurnished,5081,1776336,2005,4,5,2,1,0,1,1,83345,786045,20,10720,990291,0.07,7,1,9,0
25038,Canada,Toronto,Villa,Unfurnished,5631,1969412,1990,6,5,4,1,1,2,0,85670,1180588,10,13020,788824,0.16,7,7,5,1
25039,UAE,Dubai,Villa,Unfurnished,3429,2058263,1972,1,5,5,1,1,1,0,15215,995066,20,2600,1063197,0.49,8,4,8,0
25040,UAE,Dubai,Villa,Semi-Furnished,2270,1365645,1984,4,6,5,1,0,3,0,39755,1129834,30,17195,235811,0.18,4,3,3,0
25041,Singapore,Singapore,Apartment,Fully-Furnished,2270,1586281,2020,1,2,1,1,0,0,0,42375,1240726,15,17455,345555,0.26,10,8,7,1
25042,Germany,Munich,Apartment,Unfurnished,2081,623883,2013,3,2,1,1,0,1,1,48655,513460,25,3405,110423,0.07,6,9,5,0
25043,Singapore,Singapore,Farmhouse,Fully-Furnished,2629,1837037,1980,4,4,4,0,1,0,0,29485,1479857,15,15345,357180,0.44,2,1,6,0
25044,China,Shenzhen,Apartment,Semi-Furnished,1050,397319,1966,0,3,3,1,1,0,0,55860,301482,25,4370,95837,0.04,8,3,4,1
25045,USA,San Francisco,Townhouse,Fully-Furnished,3569,1788044,2003,4,5,5,1,0,1,1,50390,735463,15,15510,1052581,0.13,7,3,5,0
25046,UAE,Abu Dhabi,Townhouse,Unfurnished,417,252012,1972,0,6,5,1,1,0,0,56100,194548,15,11475,57464,0.03,6,3,2,0
25047,UK,Birmingham,Farmhouse,Semi-Furnished,4681,1871044,1963,3,5,2,0,1,1,0,43905,910039,30,7300,961005,0.13,8,3,3,1
25048,Brazil,Rio de Janeiro,Independent House,Unfurnished,2784,554517,2017,2,4,4,0,1,2,1,17704,255954,30,10460,298563,0.09,7,6,4,0
25049,Australia,Sydney,Apartment,Semi-Furnished,3581,1150332,1996,1,4,1,0,0,2,0,20480,580176,20,14595,570156,0.21,8,6,6,1
25050,Japan,Kyoto,Townhouse,Fully-Furnished,1623,728081,2004,2,4,4,0,1,3,0,70605,549499,15,3000,178582,0.07,3,2,7,0
25051,Germany,Munich,Farmhouse,Unfurnished,460,142404,1999,1,8,2,0,0,2,0,29245,64883,15,13385,77521,0.02,7,10,3,1
25052,UAE,Dubai,Apartment,Semi-Furnished,3509,2110304,2005,5,5,5,0,1,0,1,85585,1196501,20,5665,913803,0.1,10,9,5,0
25053,USA,Los Angeles,Independent House,Unfurnished,3765,1886718,1975,1,5,1,0,0,3,1,57330,1592197,15,19400,294521,0.24,4,6,9,0
25054,UK,London,Villa,Semi-Furnished,5483,2190664,1978,0,4,4,0,0,0,0,69750,1755880,25,5145,434784,0.17,7,5,3,1
25055,Brazil,São Paulo,Farmhouse,Semi-Furnished,1085,221841,2009,6,7,1,1,0,2,0,12698,146840,30,15475,75001,0.07,3,1,7,0
25056,Brazil,Rio de Janeiro,Studio,Unfurnished,1845,373414,1989,6,2,2,0,1,2,1,18340,259570,30,12730,113844,0.09,6,6,6,0
25057,Germany,Frankfurt,Townhouse,Fully-Furnished,5132,1544551,1997,1,1,1,1,0,1,0,23315,807474,30,14810,737077,0.22,9,4,7,1
25058,Germany,Frankfurt,Studio,Unfurnished,5490,1646252,1973,6,6,3,0,1,0,0,94785,870577,30,14555,775675,0.06,4,8,4,0
25059,Canada,Vancouver,Independent House,Semi-Furnished,5376,1884502,2007,1,2,2,0,0,0,0,65295,1286760,25,16155,597742,0.13,2,6,10,0
25060,USA,Houston,Studio,Unfurnished,4832,2419449,1973,3,1,1,0,0,1,0,81745,1469116,15,6115,950333,0.16,5,9,8,0
25061,Singapore,Singapore,Farmhouse,Semi-Furnished,5695,3986405,2019,2,4,4,1,1,1,0,31290,1901218,15,12905,2085187,0.53,8,8,7,0
25062,Brazil,Rio de Janeiro,Villa,Fully-Furnished,5962,1190079,2002,4,4,1,0,0,2,0,37896,638702,20,14705,551377,0.13,7,8,4,1
25063,Singapore,Singapore,Townhouse,Unfurnished,2227,1554400,2018,2,8,4,1,0,3,0,77780,813845,25,14390,740555,0.07,2,9,3,0
25064,Japan,Osaka,Independent House,Semi-Furnished,1933,866322,1995,3,5,5,1,0,1,0,28815,489384,30,2835,376938,0.11,2,4,7,0
